x,y,value
NANP_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.284878296
HK1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.658298699
INPP5E_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.459505841
SUCLG2_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.104121588
UGDH_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,0.848706479
GYS1_STARCH_AND_SUCROSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.661227478
TPI1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.817955672
UGP2_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,1.004802614
GALT_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.357671974
PFKFB1_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.508278542
IPMK_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.957048068
DLAT_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.125170308
INPPL1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.724354523
SUCLG2_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.059358724
IPPK_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.244481556
PLCD3_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.321822009
HAGHL_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.547095644
PLCG2_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.304033678
MTMR7_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.147733585
PGK1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.355216171
ALDH7A1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.112366971
DHDH_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,1.416549561
AGL_STARCH_AND_SUCROSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.233957086
PCK2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.530951427
PGK1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.345591601
PFKL_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.005560956
PFKM_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.431266412
PLCB3_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.117279149
PI4KB_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.048145566
UAP1_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.888497786
PLCB2_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.877667708
PIKFYVE_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.852667318
PTEN_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.996508502
PIP5K1A_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.358878979
ALDH3A2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.008437248
PIP4K2B_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.237695455
PIK3C2A_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.782799854
PTEN_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.051264638
RPE_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,1.15580293
